timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 9, 2025 @ 10:58:50.972","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:50.972","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:50.966","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:50.961","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:50.958","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:50.958","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:50.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.953","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.949","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.945","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.945","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.942","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.942","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.942","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.942","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.942","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.940","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:50.940","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:48.921","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.941","agente-ubuntu","sshd: authentication failed.","5","5760"
